epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.87306,3.15864,9.22295,1.70732,0.04307,0.04323,0.00824,0.00239,3.47993,21.0301,1.87553,0.000527883,0.000527883,0.000527883
2,13.4471,2.70114,17.8019,1.41808,0.01608,0.02162,0.00163,0.00037,3.71634,22.0463,2.51116,0.00107282,0.00107282,0.00107282
3,19.7688,2.78107,4.87868,1.54116,0.00073,0.00188,1e-05,0,4.81632,1598.37,40.2984,0.00160676,0.00160676,0.00160676
4,26.2466,2.8742,3.27312,1.40805,0.00052,0.0047,0,0,nan,nan,nan,0.00161749,0.00161749,0.00161749
5,32.5334,3.00113,4.32846,1.49395,0.00019,0.00376,0,0,nan,nan,nan,0.00160099,0.00160099,0.00160099
6,38.9215,2.86613,3.34045,1.43492,0.00054,0.01128,1e-05,0,nan,nan,nan,0.00158448,0.00158448,0.00158448
7,45.2397,2.84234,3.02741,1.36062,0.00202,0.04135,0.00018,4e-05,nan,nan,nan,0.00156798,0.00156798,0.00156798
8,51.519,2.6859,7.53616,1.28867,0.00996,0.08741,0.00216,0.00048,3.51345,248.52,1.70569,0.00155148,0.00155148,0.00155148
9,57.7834,2.59671,3.08513,1.38949,0.51348,0.05639,0.00253,0.00059,3.55382,14.528,1.68023,0.00153497,0.00153497,0.00153497
10,64.0034,2.84175,3.29079,1.49759,0.00549,0.05075,0.00086,0.0002,3.949,38.2546,3.14635,0.00151847,0.00151847,0.00151847
11,70.2195,2.69449,3.97126,1.43439,0.00334,0.05827,0.00051,0.00012,3.93989,14.8605,4.58222,0.00150197,0.00150197,0.00150197
12,76.5192,2.68749,3.338,1.40292,0.53363,0.00752,0.00191,0.0005,3.95595,4.37953,2.26362,0.00148546,0.00148546,0.00148546
13,82.7449,2.76889,3.24464,1.51286,0.51415,0.01598,0.00163,0.00039,3.78838,5.31755,2.12072,0.00146896,0.00146896,0.00146896
14,88.9838,2.69599,2.98483,1.37242,0.56736,0.04323,0.01637,0.00393,3.3397,3.99259,1.70829,0.00145246,0.00145246,0.00145246
15,95.215,2.61719,3.18463,1.47036,0.52067,0.06485,0.00514,0.00133,3.37037,21.5569,1.52684,0.00143595,0.00143595,0.00143595
16,101.414,2.63277,3.56921,1.40804,0.00936,0.15883,0.02468,0.00716,3.24994,3.26715,1.5146,0.00141945,0.00141945,0.00141945
17,107.625,2.69024,3.37182,1.42646,0.007,0.09774,0.00421,0.00104,3.39074,3.57681,1.61479,0.00140295,0.00140295,0.00140295
18,113.862,2.73431,2.86882,1.36481,0.01901,0.13628,0.01904,0.00544,3.33414,3.15593,1.51898,0.00138644,0.00138644,0.00138644
19,120.06,2.64664,2.93567,1.41062,0.03242,0.07519,0.00799,0.00199,3.45491,3.47207,1.61367,0.00136994,0.00136994,0.00136994
20,126.289,2.57185,2.7586,1.39589,0.51599,0.04323,0.00561,0.00106,3.39637,3.96721,1.55459,0.00135344,0.00135344,0.00135344
21,132.548,2.69739,3.16342,1.46616,0.55411,0.05827,0.01299,0.00349,3.4054,3.23275,1.54802,0.00133693,0.00133693,0.00133693
22,138.738,2.58566,3.09603,1.39537,0.5573,0.04605,0.01393,0.00376,3.36787,3.32897,1.51026,0.00132043,0.00132043,0.00132043
23,144.971,2.61921,2.79014,1.3664,0.05654,0.05263,0.01557,0.00397,3.37789,3.33101,1.50386,0.00130393,0.00130393,0.00130393
