epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5035,1.94036,1.75935,1.19688,0.03437,0.03268,0.00576,0.00183,3.74897,9.56089,2.2317,0.000543319,0.000543319,0.000543319
2,19.7787,1.64846,1.08826,1.0473,0.05956,0.04511,0.01838,0.00567,3.43452,4.59217,1.74775,0.00108811,0.00108811,0.00108811
3,28.7009,1.67233,1.00923,1.05028,0.00216,0.02914,0.00016,4e-05,4.14174,13.426,5.62974,0.00162189,0.00162189,0.00162189
4,37.5063,1.71527,1.03488,1.0759,0.02979,0.02444,0.00226,0.00055,4.03363,4.61142,2.55929,0.00161749,0.00161749,0.00161749
5,46.3045,1.58001,0.9854,1.03494,0.10568,0.07801,0.04131,0.01455,3.23896,3.77307,1.60325,0.00160099,0.00160099,0.00160099
6,55.1737,1.51793,0.93131,1.01015,0.07922,0.06861,0.02562,0.00757,3.33276,3.18091,1.56765,0.00158448,0.00158448,0.00158448
7,64.0223,1.55909,0.93979,1.02303,0.05913,0.04511,0.01239,0.00382,3.38727,4.96654,1.53711,0.00156798,0.00156798,0.00156798
8,72.8544,1.56336,0.95391,1.01665,0.01838,0.16809,0.04953,0.01854,3.20485,3.4353,1.47282,0.00155148,0.00155148,0.00155148
9,81.7778,1.49153,0.90134,1.00977,0.05436,0.06879,0.02781,0.00925,3.19583,4.41022,1.50048,0.00153497,0.00153497,0.00153497
10,90.5634,1.4929,0.88976,1.00366,0.11133,0.07613,0.04507,0.01501,3.21332,3.73853,1.53107,0.00151847,0.00151847,0.00151847
11,99.3644,1.43459,0.86924,0.98679,0.61375,0.07425,0.04695,0.01583,3.2398,3.53272,1.45788,0.00150197,0.00150197,0.00150197
12,108.287,1.49777,0.88946,1.00373,0.57609,0.05639,0.02761,0.00942,3.24691,3.2626,1.48372,0.00148546,0.00148546,0.00148546
13,117.11,1.45533,0.84182,0.99787,0.06607,0.09117,0.03612,0.01197,3.21381,3.57727,1.50566,0.00146896,0.00146896,0.00146896
14,125.896,1.49564,0.90036,1.01185,0.09502,0.05827,0.02871,0.00948,3.34493,4.15341,1.51895,0.00145246,0.00145246,0.00145246
15,134.589,1.61601,0.9733,1.0218,0.0195,0.12124,0.03856,0.01334,3.19875,4.10139,1.37141,0.00143595,0.00143595,0.00143595
16,143.473,1.52793,0.89554,0.99654,0.08563,0.08835,0.03475,0.00953,3.32827,3.32988,1.56303,0.00141945,0.00141945,0.00141945
17,152.213,1.49932,0.86353,1.00182,0.10819,0.09492,0.04378,0.01532,3.13294,3.06183,1.46292,0.00140295,0.00140295,0.00140295
18,161.001,1.45575,0.81968,0.99022,0.61744,0.08553,0.05196,0.01739,3.19102,2.89961,1.51575,0.00138644,0.00138644,0.00138644
19,169.796,1.48423,0.84956,0.99659,0.10388,0.08083,0.03519,0.01126,3.18187,3.28943,1.44779,0.00136994,0.00136994,0.00136994
20,178.579,1.41659,0.8172,0.97847,0.15106,0.07049,0.04615,0.01652,3.29448,2.96444,1.71189,0.00135344,0.00135344,0.00135344
21,187.34,1.3845,0.78623,0.9696,0.12797,0.09962,0.06102,0.02262,3.13856,3.62647,1.49665,0.00133693,0.00133693,0.00133693
22,196.272,1.42421,0.81802,0.9644,0.06042,0.07331,0.01992,0.00653,3.08416,3.71813,1.4179,0.00132043,0.00132043,0.00132043
23,205.078,1.43034,0.85012,0.97579,0.11642,0.07237,0.04586,0.01821,3.11527,3.63965,1.47633,0.00130393,0.00130393,0.00130393
24,213.889,1.39,0.79118,0.96193,0.18277,0.10244,0.08184,0.03144,3.12096,3.59709,1.45335,0.00128742,0.00128742,0.00128742
25,222.634,1.40584,0.78304,0.97469,0.02607,0.12016,0.02597,0.0095,3.2059,3.85319,1.52402,0.00127092,0.00127092,0.00127092
26,231.381,1.37196,0.77272,0.97171,0.12668,0.09398,0.05606,0.0211,3.13269,3.32028,1.43361,0.00125442,0.00125442,0.00125442
27,240.211,1.37114,0.79262,0.95308,0.05716,0.04605,0.01277,0.00334,3.37721,3.16098,1.56423,0.00123791,0.00123791,0.00123791
28,249.014,1.38158,0.79121,0.96512,0.10824,0.1062,0.05255,0.01756,3.12728,3.28693,1.40941,0.00122141,0.00122141,0.00122141
29,257.94,1.38615,0.77349,0.96302,0.13336,0.10338,0.06395,0.02466,3.09681,3.20479,1.44125,0.00120491,0.00120491,0.00120491
30,266.766,1.40847,0.79063,0.96257,0.12513,0.09023,0.04892,0.01727,3.11132,3.40302,1.43004,0.0011884,0.0011884,0.0011884
31,275.584,1.38352,0.781,0.95694,0.11385,0.09117,0.04996,0.01896,3.02273,3.11837,1.36648,0.0011719,0.0011719,0.0011719
32,284.336,1.35673,0.76121,0.95835,0.07819,0.07049,0.02085,0.00669,3.20378,3.20408,1.58225,0.0011554,0.0011554,0.0011554
33,293.165,1.41357,0.81309,0.97086,0.05867,0.06673,0.01826,0.00589,3.26404,3.68694,1.62486,0.00113889,0.00113889,0.00113889
34,301.953,1.4111,0.80917,0.96608,0.08944,0.08929,0.03538,0.01239,3.09977,3.51113,1.5058,0.00112239,0.00112239,0.00112239
35,310.755,1.31442,0.738,0.94455,0.09023,0.05451,0.02707,0.00905,3.27427,3.38843,1.64319,0.00110589,0.00110589,0.00110589
36,319.539,1.34753,0.72838,0.95109,0.09213,0.10136,0.0404,0.01656,3.1314,6.42521,1.63536,0.00108938,0.00108938,0.00108938
37,328.282,1.3236,0.73581,0.94711,0.14344,0.09868,0.0621,0.02433,3.09401,3.02477,1.47743,0.00107288,0.00107288,0.00107288
38,336.999,1.39064,0.82356,0.9572,0.16674,0.11191,0.0836,0.03429,3.01984,3.04805,1.42758,0.00105638,0.00105638,0.00105638
39,345.931,1.34593,0.73335,0.95013,0.13246,0.10056,0.05583,0.0216,3.09359,2.83377,1.49037,0.00103987,0.00103987,0.00103987
40,354.815,1.35753,0.76049,0.95028,0.12518,0.09385,0.05558,0.02011,3.09531,2.83978,1.47208,0.00102337,0.00102337,0.00102337
41,363.582,1.36103,0.76384,0.95582,0.12094,0.10316,0.04933,0.01376,3.19072,2.93162,1.40727,0.00100687,0.00100687,0.00100687
42,372.341,1.32068,0.72561,0.94353,0.6287,0.10432,0.05933,0.02474,3.03293,2.95463,1.4875,0.000990365,0.000990365,0.000990365
43,381.088,1.34863,0.74003,0.94838,0.12461,0.08741,0.05366,0.02003,3.05244,3.03753,1.36143,0.000973861,0.000973861,0.000973861
44,389.858,1.35733,0.7586,0.95619,0.13926,0.10808,0.07101,0.02479,3.02415,3.16769,1.34523,0.000957358,0.000957358,0.000957358
45,398.608,1.33518,0.70447,0.94431,0.17402,0.11748,0.08265,0.03013,3.0739,3.01795,1.41436,0.000940855,0.000940855,0.000940855
46,407.325,1.30186,0.71303,0.93757,0.14562,0.10311,0.06939,0.02447,3.01942,2.99024,1.4179,0.000924352,0.000924352,0.000924352
47,416.091,1.32818,0.72424,0.94358,0.63953,0.09868,0.06392,0.01923,3.17137,3.7439,1.4074,0.000907848,0.000907848,0.000907848
48,424.824,1.32309,0.73203,0.94397,0.13954,0.1015,0.05389,0.01995,3.05338,2.99952,1.37637,0.000891345,0.000891345,0.000891345
49,433.562,1.33482,0.74459,0.94182,0.16989,0.1156,0.08552,0.03009,3.11524,2.89834,1.43829,0.000874842,0.000874842,0.000874842
50,442.248,1.30993,0.71854,0.94266,0.20078,0.11541,0.0887,0.03435,3.01787,3.01297,1.42497,0.000858338,0.000858338,0.000858338
51,451.017,1.29657,0.70469,0.93872,0.6785,0.11184,0.08473,0.02976,3.04078,2.81269,1.43553,0.000841835,0.000841835,0.000841835
52,459.862,1.31159,0.72175,0.93692,0.15506,0.11466,0.08216,0.02929,2.96994,2.9297,1.3975,0.000825332,0.000825332,0.000825332
53,468.537,1.32169,0.70172,0.9423,0.16506,0.11372,0.08594,0.03407,2.95671,2.92133,1.40152,0.000808828,0.000808828,0.000808828
54,477.327,1.34609,0.7132,0.93918,0.17002,0.11184,0.08271,0.03144,2.96466,2.85505,1.43421,0.000792325,0.000792325,0.000792325
55,486.185,1.34914,0.75872,0.94806,0.70572,0.11278,0.09072,0.0371,2.94285,2.89052,1.3834,0.000775822,0.000775822,0.000775822
56,495.028,1.33505,0.78111,0.94769,0.17635,0.09269,0.07189,0.0288,2.99709,3.11614,1.4101,0.000759318,0.000759318,0.000759318
57,503.84,1.31191,0.74363,0.93232,0.15857,0.08365,0.05896,0.02099,3.11258,3.16976,1.42606,0.000742815,0.000742815,0.000742815
58,512.498,1.27869,0.68664,0.93672,0.14646,0.10338,0.05616,0.02078,3.04275,2.99643,1.47352,0.000726312,0.000726312,0.000726312
59,521.23,1.28438,0.71083,0.92666,0.11496,0.08459,0.0464,0.0157,3.06867,3.56332,1.47877,0.000709809,0.000709809,0.000709809
60,529.934,1.32238,0.71757,0.94548,0.11257,0.09774,0.04487,0.01681,3.13848,3.03005,1.44351,0.000693305,0.000693305,0.000693305
61,538.655,1.29172,0.70876,0.93693,0.14231,0.10902,0.05539,0.02102,2.98239,3.41304,1.36768,0.000676802,0.000676802,0.000676802
62,547.377,1.26434,0.67581,0.92786,0.17114,0.12124,0.07454,0.02889,3.00724,2.77957,1.35992,0.000660299,0.000660299,0.000660299
63,556.066,1.30087,0.70628,0.93456,0.17989,0.10714,0.07466,0.02767,3.04836,2.84903,1.4202,0.000643795,0.000643795,0.000643795
64,564.891,1.31711,0.70858,0.93914,0.14752,0.11184,0.07475,0.02898,3.05559,3.11219,1.42345,0.000627292,0.000627292,0.000627292
65,573.755,1.30285,0.69131,0.93294,0.14769,0.12124,0.07984,0.0328,2.94675,2.90747,1.3927,0.000610789,0.000610789,0.000610789
66,582.528,1.33256,0.71973,0.92926,0.13182,0.12124,0.07271,0.03017,2.97001,3.55035,1.35785,0.000594286,0.000594286,0.000594286
67,591.282,1.29339,0.69101,0.93688,0.13977,0.10432,0.07731,0.03063,2.90122,2.93269,1.37393,0.000577782,0.000577782,0.000577782
68,600.213,1.2834,0.6875,0.92785,0.16904,0.10808,0.08428,0.03195,3.03214,3.6624,1.39715,0.000561279,0.000561279,0.000561279
69,609.03,1.25641,0.68224,0.92102,0.1844,0.10902,0.09173,0.03726,2.88709,3.12062,1.34473,0.000544776,0.000544776,0.000544776
70,617.891,1.27504,0.68379,0.92368,0.19052,0.09868,0.08233,0.03282,2.9947,2.80979,1.4854,0.000528272,0.000528272,0.000528272
71,626.619,1.28269,0.68979,0.93091,0.12588,0.11466,0.0778,0.03325,2.93057,3.25331,1.37122,0.000511769,0.000511769,0.000511769
72,635.436,1.27207,0.66547,0.9261,0.13108,0.10714,0.06059,0.0233,3.02935,2.97785,1.38759,0.000495266,0.000495266,0.000495266
73,644.196,1.27904,0.67985,0.92878,0.66212,0.13123,0.08522,0.03055,3.05288,3.04977,1.37381,0.000478762,0.000478762,0.000478762
74,652.962,1.23891,0.64851,0.92221,0.15409,0.11842,0.08066,0.03213,2.97013,2.89636,1.34452,0.000462259,0.000462259,0.000462259
75,661.899,1.27478,0.6709,0.92559,0.13968,0.11654,0.06986,0.02581,3.03347,3.06355,1.34397,0.000445756,0.000445756,0.000445756
76,670.64,1.24844,0.67135,0.92033,0.1623,0.11748,0.09314,0.03882,2.89344,3.1548,1.3617,0.000429253,0.000429253,0.000429253
77,679.454,1.26847,0.67793,0.92633,0.16939,0.11413,0.08866,0.03719,2.88379,2.79293,1.3294,0.000412749,0.000412749,0.000412749
78,688.2,1.27693,1.11139,0.93491,0.65971,0.10902,0.07272,0.02548,3.06692,3.22036,1.3859,0.000396246,0.000396246,0.000396246
79,696.966,1.2733,0.6599,0.92655,0.16644,0.1344,0.09878,0.03756,2.9472,2.73311,1.33002,0.000379743,0.000379743,0.000379743
80,705.75,1.26289,0.66996,0.92734,0.15078,0.12688,0.0825,0.02935,2.93774,2.75532,1.37062,0.000363239,0.000363239,0.000363239
81,714.468,1.25365,0.66412,0.92597,0.16565,0.14192,0.09951,0.03767,2.95996,2.91931,1.38466,0.000346736,0.000346736,0.000346736
82,723.209,1.27107,0.64373,0.92162,0.13578,0.1485,0.09124,0.03281,3.01247,2.94804,1.33556,0.000330233,0.000330233,0.000330233
83,731.985,1.25641,0.65469,0.917,0.14959,0.1297,0.08286,0.03346,2.90946,3.30142,1.36202,0.000313729,0.000313729,0.000313729
84,740.773,1.24569,0.66601,0.92833,0.16538,0.13378,0.09327,0.03536,2.93985,2.93794,1.3651,0.000297226,0.000297226,0.000297226
85,749.507,1.26476,0.66685,0.91791,0.17392,0.12406,0.09005,0.03676,2.91269,2.74654,1.38561,0.000280723,0.000280723,0.000280723
86,758.259,1.23352,0.65358,0.91975,0.17046,0.125,0.09334,0.04039,2.85737,3.16299,1.33374,0.00026422,0.00026422,0.00026422
