epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6231,1.6857,1.32489,1.09339,0.05793,0.05827,0.01283,0.00412,3.53654,4.48152,1.8431,0.000548972,0.000548972,0.000548972
2,31.0298,1.49601,0.84077,1.00256,0.09165,0.05189,0.0198,0.00681,3.16692,3.23615,1.47039,0.0010937,0.0010937,0.0010937
3,46.4617,1.47156,0.82468,0.98175,0.07147,0.03752,0.01468,0.00501,3.50838,5.57831,1.7918,0.00162743,0.00162743,0.00162743
4,61.8008,1.48654,0.81097,0.99788,0.09978,0.06203,0.03233,0.01108,3.33877,3.35027,1.55675,0.00161749,0.00161749,0.00161749
5,77.1648,1.44148,0.81671,0.98227,0.08679,0.07519,0.03538,0.01091,3.2908,3.87929,1.50101,0.00160099,0.00160099,0.00160099
6,92.493,1.34287,0.76039,0.96807,0.06343,0.06934,0.00849,0.00307,3.30829,4.3849,1.36198,0.00158448,0.00158448,0.00158448
7,107.801,1.33413,0.73533,0.95552,0.07862,0.06203,0.02311,0.0095,3.34328,3.52295,1.49489,0.00156798,0.00156798,0.00156798
8,123.043,1.30392,0.71564,0.95007,0.13743,0.06485,0.0404,0.01524,3.22251,3.43308,1.35969,0.00155148,0.00155148,0.00155148
9,138.329,1.29068,0.71058,0.9462,0.09916,0.07049,0.03571,0.01185,3.1811,3.82237,1.50556,0.00153497,0.00153497,0.00153497
10,153.608,1.26908,0.68415,0.94116,0.102,0.03759,0.02079,0.00695,3.48673,3.35248,1.7074,0.00151847,0.00151847,0.00151847
11,168.826,1.30038,0.69236,0.94504,0.12112,0.09023,0.04821,0.0166,3.26863,3.57189,1.54452,0.00150197,0.00150197,0.00150197
12,184.233,1.26098,0.68247,0.93439,0.10541,0.05875,0.03339,0.0142,3.29927,4.38445,1.64316,0.00148546,0.00148546,0.00148546
13,199.546,1.23353,0.65405,0.92484,0.6462,0.07895,0.0528,0.01908,3.38546,3.13382,1.49467,0.00146896,0.00146896,0.00146896
14,214.898,1.32071,0.6932,0.94634,0.06053,0.05632,0.01252,0.00422,3.37562,5.53158,1.58241,0.00145246,0.00145246,0.00145246
15,230.252,1.49199,0.80141,0.98347,0.64512,0.04511,0.03687,0.0116,3.26669,3.20609,1.58699,0.00143595,0.00143595,0.00143595
16,245.513,1.31503,0.70466,0.94439,0.14276,0.08365,0.0578,0.02105,3.22942,3.00034,1.46434,0.00141945,0.00141945,0.00141945
17,260.918,1.22382,0.6518,0.92143,0.05306,0.09009,0.03375,0.01509,3.15668,4.88266,1.68405,0.00140295,0.00140295,0.00140295
18,276.227,1.22869,0.65882,0.92853,0.07659,0.06203,0.02555,0.00849,3.46344,3.57356,1.58877,0.00138644,0.00138644,0.00138644
19,291.499,1.24374,0.66729,0.93045,0.15075,0.08083,0.04908,0.02002,3.03976,3.8649,1.40147,0.00136994,0.00136994,0.00136994
20,306.87,1.18952,0.62935,0.91768,0.62167,0.07519,0.04406,0.01616,3.25107,3.09525,1.46754,0.00135344,0.00135344,0.00135344
21,322.28,1.2313,0.66819,0.92261,0.07136,0.04323,0.01886,0.00699,3.37324,3.48857,1.44623,0.00133693,0.00133693,0.00133693
22,337.68,1.17167,0.63578,0.91028,0.18839,0.05921,0.04547,0.01631,3.28598,3.1322,1.32849,0.00132043,0.00132043,0.00132043
23,352.899,1.17687,0.63449,0.90649,0.64797,0.04135,0.04033,0.01156,3.21361,3.17044,1.51599,0.00130393,0.00130393,0.00130393
24,368.163,1.21426,0.6478,0.91915,0.13406,0.08835,0.06101,0.02391,3.20364,3.03291,1.57624,0.00128742,0.00128742,0.00128742
25,383.438,1.22419,0.65941,0.92427,0.12643,0.08835,0.05307,0.01819,3.16394,3.20974,1.46966,0.00127092,0.00127092,0.00127092
26,398.785,1.17876,0.62852,0.91075,0.10027,0.08459,0.0441,0.01429,3.21644,3.22378,1.40971,0.00125442,0.00125442,0.00125442
27,414.137,1.16564,0.62465,0.91102,0.12978,0.07895,0.04682,0.01701,3.12077,3.13118,1.48508,0.00123791,0.00123791,0.00123791
28,429.517,1.14153,0.5953,0.90369,0.65437,0.09023,0.06044,0.02471,3.10398,3.10565,1.33389,0.00122141,0.00122141,0.00122141
29,445.127,1.15309,0.62146,0.90184,0.13749,0.1062,0.06472,0.02562,3.08571,3.49198,1.33674,0.00120491,0.00120491,0.00120491
30,460.545,1.16172,0.61405,0.90499,0.11243,0.09305,0.05206,0.01976,3.11802,3.55782,1.34002,0.0011884,0.0011884,0.0011884
