epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.6847,1.41824,0.8747,0.9891,0.04417,0.03289,0.00756,0.00254,3.53627,4.30339,1.73936,0.000553998,0.000553998,0.000553998
2,118.726,1.2384,0.62058,0.92564,0.03272,0.02625,0.01046,0.00453,3.67106,4.69901,1.98006,0.00109868,0.00109868,0.00109868
3,177.215,1.19493,0.60481,0.91256,0,0,0,0,3.89097,5.22194,1.93606,0.00163236,0.00163236,0.00163236
4,235.536,1.19506,0.60762,0.91282,0.04407,0.04135,0.01174,0.00349,3.51353,3.86059,1.42426,0.00161749,0.00161749,0.00161749
5,293.603,1.14488,0.56894,0.90269,0.00655,0.03759,0.00066,0.00012,3.70983,3.98907,1.6966,0.00160099,0.00160099,0.00160099
6,351.921,1.15829,0.57711,0.90418,0.01774,0.09492,0.01593,0.00361,3.58632,3.68906,1.72113,0.00158448,0.00158448,0.00158448
7,410.06,1.11456,0.54876,0.89378,0.03747,0.05263,0.01469,0.00466,3.59453,3.57805,1.60654,0.00156798,0.00156798,0.00156798
8,468.406,1.12509,0.55292,0.89463,0.0399,0.06109,0.0084,0.00287,3.44654,3.38592,1.55258,0.00155148,0.00155148,0.00155148
9,526.704,1.07491,0.52968,0.88564,0.06794,0.04699,0.02047,0.00743,3.47775,3.34251,1.58211,0.00153497,0.00153497,0.00153497
10,585.086,1.08115,0.52691,0.88494,0.0232,0.0872,0.01488,0.00476,3.47707,5.15933,1.60116,0.00151847,0.00151847,0.00151847
11,643.608,1.07913,0.52461,0.88549,0.01877,0.06297,0.00691,0.00194,3.57428,3.88809,1.52391,0.00150197,0.00150197,0.00150197
12,701.94,1.07509,0.52536,0.88424,0.01015,0.09962,0.0113,0.0028,3.56539,3.52635,1.55567,0.00148546,0.00148546,0.00148546
13,760.101,1.07329,0.51739,0.88464,0.10446,0.08459,0.04274,0.01324,3.33819,3.75887,1.46997,0.00146896,0.00146896,0.00146896
14,818.432,1.04157,0.50348,0.87831,0.06855,0.06767,0.02343,0.00714,3.48185,3.69916,1.53214,0.00145246,0.00145246,0.00145246
15,876.625,1.0406,0.50441,0.8779,0.12162,0.07734,0.04029,0.01368,3.36238,3.11509,1.56171,0.00143595,0.00143595,0.00143595
16,935.185,1.04633,0.5053,0.87605,0.08951,0.03947,0.02369,0.00826,3.2798,3.3102,1.35871,0.00141945,0.00141945,0.00141945
17,993.356,1.0468,0.50489,0.87695,0.08966,0.05639,0.03015,0.0113,3.40744,3.65799,1.46692,0.00140295,0.00140295,0.00140295
18,1051.54,1.02943,0.49824,0.87413,0.13804,0.07989,0.05341,0.01888,3.26232,3.519,1.39683,0.00138644,0.00138644,0.00138644
19,1109.78,1.01182,0.48658,0.86951,0.0663,0.03665,0.02031,0.00566,3.41891,3.10062,1.45494,0.00136994,0.00136994,0.00136994
20,1168.15,1.03771,0.49433,0.87491,0.1378,0.07707,0.0505,0.01689,3.3177,3.06553,1.45363,0.00135344,0.00135344,0.00135344
21,1226.39,1.01539,0.48933,0.869,0.09297,0.07049,0.03239,0.01227,3.3096,3.26902,1.38475,0.00133693,0.00133693,0.00133693
22,1284.63,1.01408,0.48972,0.86813,0.12712,0.08741,0.05142,0.01549,3.30816,4.46384,1.35684,0.00132043,0.00132043,0.00132043
23,1342.9,0.97893,0.47857,0.86489,0.03879,0.09211,0.0261,0.00824,3.34841,3.72169,1.38522,0.00130393,0.00130393,0.00130393
24,1401.11,0.94668,0.47129,0.86053,0.10538,0.07989,0.03995,0.01387,3.33688,3.62824,1.27697,0.00128742,0.00128742,0.00128742
25,1459.53,0.96138,0.47098,0.85994,0.12895,0.07519,0.04917,0.01773,3.19064,3.06881,1.39859,0.00127092,0.00127092,0.00127092
26,1518.08,0.91545,0.45486,0.85428,0.61098,0.07425,0.03783,0.00991,3.3678,3.02964,1.50057,0.00125442,0.00125442,0.00125442
27,1576.1,0.9167,0.45415,0.85363,0.10351,0.08929,0.04025,0.01241,3.27221,3.47225,1.3491,0.00123791,0.00123791,0.00123791
28,1634.21,0.91175,0.45202,0.85225,0.10337,0.06203,0.03421,0.01151,3.36453,3.21918,1.46507,0.00122141,0.00122141,0.00122141
29,1692.46,0.90246,0.44659,0.85038,0.15673,0.08459,0.05616,0.01942,3.22236,3.22477,1.48459,0.00120491,0.00120491,0.00120491
30,1750.76,0.89458,0.44504,0.84894,0.5679,0.07143,0.02694,0.00828,3.3423,3.70206,1.45236,0.0011884,0.0011884,0.0011884
31,1823.81,0.91423,0.45311,0.85211,0.60506,0.08365,0.03902,0.01287,3.25379,3.47758,1.49865,0.0011719,0.0011719,0.0011719
32,1909.47,0.88582,0.43837,0.84739,0.58067,0.09117,0.03327,0.01173,3.25428,3.58131,1.39576,0.0011554,0.0011554,0.0011554
33,1994.59,0.91487,0.45095,0.85214,0.65768,0.04605,0.04002,0.0141,3.35943,2.99801,1.51679,0.00113889,0.00113889,0.00113889
34,2079.95,0.89073,0.44118,0.8499,0.15732,0.09492,0.0709,0.02459,3.23768,3.30574,1.36578,0.00112239,0.00112239,0.00112239
35,2165.17,0.89224,0.4445,0.84819,0.12484,0.09211,0.0513,0.01894,3.22814,3.57954,1.31914,0.00110589,0.00110589,0.00110589
36,2249.1,0.87191,0.43186,0.84612,0.13043,0.09117,0.04782,0.01799,3.2568,3.30318,1.34934,0.00108938,0.00108938,0.00108938
37,2334.62,0.87813,0.43509,0.84708,0.15561,0.08835,0.06296,0.02056,3.24245,3.06376,1.32389,0.00107288,0.00107288,0.00107288
38,2420,0.87373,0.43254,0.84549,0.09489,0.08741,0.03509,0.01069,3.27896,3.61612,1.37377,0.00105638,0.00105638,0.00105638
39,2505.19,0.87394,0.4301,0.84547,0.10007,0.05169,0.02513,0.00714,3.24501,3.34816,1.47097,0.00103987,0.00103987,0.00103987
40,2590.4,0.87162,0.42762,0.84424,0.58697,0.06109,0.03579,0.01116,3.28556,3.30467,1.42363,0.00102337,0.00102337,0.00102337
41,2675.56,0.87517,0.43285,0.84527,0.05232,0.04135,0.01356,0.00394,3.55582,3.29643,1.6689,0.00100687,0.00100687,0.00100687
42,2760.92,0.86561,0.42486,0.84507,0.65265,0.08835,0.07176,0.02389,3.27653,3.40303,1.33334,0.000990365,0.000990365,0.000990365
43,2846.4,0.86011,0.42561,0.84221,0.11284,0.06673,0.03435,0.01327,3.14582,3.19241,1.37643,0.000973861,0.000973861,0.000973861
44,2931.65,0.85951,0.42394,0.84325,0.07095,0.06015,0.02321,0.00809,3.33113,3.05564,1.41353,0.000957358,0.000957358,0.000957358
45,3016.74,0.85758,0.42236,0.84102,0.15818,0.10526,0.0654,0.02378,3.32978,3.14582,1.31133,0.000940855,0.000940855,0.000940855
46,3101.88,0.85526,0.41921,0.84081,0.11065,0.08083,0.04452,0.0156,3.22872,2.96801,1.34698,0.000924352,0.000924352,0.000924352
47,3186.96,0.85361,0.41947,0.84119,0.14047,0.10244,0.06399,0.02295,3.18947,3.20477,1.22749,0.000907848,0.000907848,0.000907848
48,3271.77,0.85163,0.42001,0.84055,0.14432,0.11278,0.05994,0.02198,3.19592,3.14943,1.23733,0.000891345,0.000891345,0.000891345
49,3357,0.84237,0.41384,0.83892,0.16277,0.09211,0.06481,0.02591,3.14302,3.15169,1.29004,0.000874842,0.000874842,0.000874842
50,3442.66,0.84678,0.41774,0.8399,0.14941,0.1015,0.06722,0.02573,3.23522,3.1034,1.33112,0.000858338,0.000858338,0.000858338
51,3527.7,0.85761,0.42042,0.84141,0.18539,0.10808,0.07202,0.02685,3.27214,3.59726,1.32483,0.000841835,0.000841835,0.000841835
52,3612.76,0.86628,0.42591,0.84372,0.12437,0.10526,0.04453,0.01711,3.1266,3.28434,1.28923,0.000825332,0.000825332,0.000825332
53,3698.13,0.84769,0.41319,0.84082,0.10748,0.07143,0.04077,0.01549,3.20444,3.03547,1.31481,0.000808828,0.000808828,0.000808828
54,3783.16,0.83357,0.4092,0.83787,0.1354,0.11483,0.06155,0.021,3.10774,2.99526,1.31595,0.000792325,0.000792325,0.000792325
55,3868.31,0.84416,0.41587,0.83986,0.13097,0.08929,0.04987,0.01906,3.32651,2.95503,1.32248,0.000775822,0.000775822,0.000775822
56,3953.35,0.83598,0.40874,0.83889,0.16099,0.11372,0.07622,0.02803,3.09081,2.83225,1.30215,0.000759318,0.000759318,0.000759318
