epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.08339,3.08808,21.9497,1.77989,0.03999,0.02914,0.00715,0.00219,3.58521,7.92367,1.87067,0.000527883,0.000527883,0.000527883
2,12.598,2.80512,3.91409,1.37624,0.5322,0.04323,0.00421,0.0008,3.5466,8.5286,1.72461,0.00107282,0.00107282,0.00107282
3,19.0792,2.96833,4.22876,1.48139,0,0,0,0,4.56552,18881.8,29.8609,0.00160676,0.00160676,0.00160676
4,25.3193,3.02323,4.32259,1.51293,0.00268,0.01222,0.00013,3e-05,4.15168,38.4946,3.85873,0.00161749,0.00161749,0.00161749
5,31.5939,2.67062,6.93709,1.35005,0.00888,0.03195,0.00104,0.00024,3.92202,5.68727,4.58501,0.00160099,0.00160099,0.00160099
6,37.851,2.75844,2.79689,1.34492,0.00296,0.06015,0.00037,7e-05,3.71039,68.6476,2.15139,0.00158448,0.00158448,0.00158448
7,44.0723,2.81682,4.7148,1.46467,0.00292,0.06579,0.00042,9e-05,3.69942,7183.36,8.82696,0.00156798,0.00156798,0.00156798
8,50.2302,2.81139,3.34368,1.54099,0.01657,0.07143,0.00304,0.00083,3.3917,118.439,5.72143,0.00155148,0.00155148,0.00155148
9,56.4464,2.80696,3.28462,1.44094,0.0713,0.05361,0.01549,0.00413,3.37747,4.65595,2.27988,0.00153497,0.00153497,0.00153497
10,62.7323,2.76247,2.81723,1.40178,0.58754,0.06955,0.03784,0.01282,3.21969,3.79604,1.60753,0.00151847,0.00151847,0.00151847
11,69.0578,2.68395,2.80782,1.41752,0.56445,0.05639,0.02058,0.0052,3.45974,3.99179,1.86661,0.00150197,0.00150197,0.00150197
12,75.2289,2.77793,3.30131,1.36515,0.03527,0.12312,0.01667,0.0049,3.31969,3.43779,1.48238,0.00148546,0.00148546,0.00148546
13,81.44,2.58006,2.84135,1.36349,0.00444,0.09305,0.00256,0.00058,3.44027,5.12256,1.57752,0.00146896,0.00146896,0.00146896
14,87.6413,2.54584,4.6439,1.29385,0.56191,0.06109,0.01859,0.00566,3.3875,3.06074,1.61447,0.00145246,0.00145246,0.00145246
15,93.8508,2.60505,3.32738,1.38514,0.01407,0.15132,0.01938,0.0056,3.34634,3.31703,1.58867,0.00143595,0.00143595,0.00143595
16,100.006,2.54118,3.84247,1.29955,0.56358,0.05733,0.02049,0.00593,3.28386,3.15284,1.58917,0.00141945,0.00141945,0.00141945
17,106.24,2.56856,3.00127,1.38555,0.5643,0.05921,0.02388,0.00752,3.2999,3.22158,1.65814,0.00140295,0.00140295,0.00140295
18,112.496,2.6577,2.85978,1.3174,0.53535,0.06767,0.01183,0.00321,3.44199,3.28197,1.65748,0.00138644,0.00138644,0.00138644
19,118.754,2.58341,2.77607,1.38163,0.56709,0.07143,0.02376,0.00663,3.35306,3.83835,1.63024,0.00136994,0.00136994,0.00136994
20,124.977,2.60744,3.6372,1.40025,0.54873,0.0809,0.01245,0.00408,3.23004,3.80759,1.67295,0.00135344,0.00135344,0.00135344
21,131.128,2.55875,3.05996,1.32835,0.0231,0.1391,0.01652,0.00447,3.1904,3.43652,1.58646,0.00133693,0.00133693,0.00133693
22,137.323,2.45319,2.71109,1.28423,0.01598,0.13628,0.01475,0.00484,3.23286,3.26102,1.50187,0.00132043,0.00132043,0.00132043
23,143.558,2.53807,2.9317,1.37443,0.06049,0.06955,0.01502,0.00465,3.30196,3.31719,1.50014,0.00130393,0.00130393,0.00130393
24,149.862,2.48452,2.76381,1.32039,0.56628,0.05827,0.02254,0.00808,3.24169,3.18972,1.47334,0.00128742,0.00128742,0.00128742
25,156.079,2.62032,3.19192,1.32847,0.56199,0.06203,0.02132,0.00741,3.23153,3.20303,1.49412,0.00127092,0.00127092,0.00127092
26,162.341,2.59457,2.67963,1.31797,0.07098,0.05169,0.01847,0.0054,3.34507,3.23294,1.57919,0.00125442,0.00125442,0.00125442
27,168.589,2.60664,2.68671,1.41798,0.59626,0.06028,0.03034,0.0097,3.25141,3.17543,1.6226,0.00123791,0.00123791,0.00123791
28,174.885,2.52826,2.44097,1.2375,0.57287,0.09774,0.02914,0.01177,3.04557,3.50032,1.47693,0.00122141,0.00122141,0.00122141
29,181.151,2.41499,2.65852,1.30521,0.05932,0.09962,0.02675,0.00966,3.07499,3.40135,1.48481,0.00120491,0.00120491,0.00120491
30,187.408,2.38779,2.54612,1.31612,0.54031,0.05357,0.01031,0.00309,3.26528,3.29026,1.55673,0.0011884,0.0011884,0.0011884
