epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,268.197,2.41099,2.43056,1.24304,0.06799,0.07613,0.01797,0.00572,3.23803,3.11117,1.48267,0.000973861,0.000973861,0.000973861
44,274.484,2.46524,2.46092,1.24801,0.05482,0.07519,0.01496,0.00507,3.2153,3.13237,1.50948,0.000957358,0.000957358,0.000957358
45,280.592,2.40722,2.47651,1.2538,0.0728,0.06579,0.02442,0.00868,3.01969,3.10401,1.45669,0.000940855,0.000940855,0.000940855
46,286.852,2.4579,2.38464,1.21524,0.08235,0.09023,0.03105,0.01071,3.04267,3.13946,1.45975,0.000924352,0.000924352,0.000924352
47,292.991,2.41393,2.99759,1.21854,0.07122,0.08929,0.02796,0.01093,2.99312,3.11847,1.41446,0.000907848,0.000907848,0.000907848
48,299.178,2.38769,2.8956,1.27565,0.08595,0.06955,0.02161,0.00762,3.06568,3.18797,1.43963,0.000891345,0.000891345,0.000891345
49,305.379,2.30153,2.49991,1.25644,0.58573,0.07707,0.02355,0.00786,3.0853,3.12528,1.44094,0.000874842,0.000874842,0.000874842
50,311.621,2.35534,2.49495,1.22638,0.56159,0.08553,0.01965,0.00721,3.11772,3.41799,1.44614,0.000858338,0.000858338,0.000858338
51,317.79,2.25126,2.39347,1.22297,0.57989,0.09023,0.02646,0.00953,3.0945,3.30106,1.42728,0.000841835,0.000841835,0.000841835
52,324.055,2.26115,2.16051,1.21317,0.09095,0.09023,0.03445,0.01278,2.98416,3.21573,1.39879,0.000825332,0.000825332,0.000825332
53,330.216,2.31793,2.91217,1.34499,0.08408,0.08365,0.03046,0.01096,3.05547,3.17976,1.42486,0.000808828,0.000808828,0.000808828
54,336.387,2.24511,3.34226,1.17908,0.6088,0.07425,0.03168,0.01268,2.98637,3.10941,1.41972,0.000792325,0.000792325,0.000792325
55,342.571,2.47091,2.67216,1.2309,0.60243,0.05733,0.03007,0.01184,3.06036,3.20492,1.42876,0.000775822,0.000775822,0.000775822
56,348.753,2.33171,2.68829,1.22577,0.58591,0.08365,0.02705,0.00933,3.1582,3.05285,1.42608,0.000759318,0.000759318,0.000759318
57,354.993,2.41983,2.84877,1.2402,0.57298,0.08741,0.02532,0.00892,3.1632,3.10564,1.4494,0.000742815,0.000742815,0.000742815
58,361.151,2.39027,2.60651,1.23407,0.08049,0.0725,0.02324,0.00844,3.04146,3.25498,1.44063,0.000726312,0.000726312,0.000726312
59,367.375,2.37128,2.33541,1.19528,0.09017,0.08835,0.03308,0.01328,2.93404,3.16602,1.44334,0.000709809,0.000709809,0.000709809
