epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5041,1.69151,1.35005,1.07617,0.06015,0.03665,0.01562,0.0056,3.54045,5.80448,2.09863,0.000548972,0.000548972,0.000548972
2,44.8135,1.47102,0.82592,0.9876,0.0383,0.03532,0.00864,0.00289,3.34746,4.28012,1.75626,0.0010937,0.0010937,0.0010937
3,66.9831,1.46495,0.86466,0.99366,0.03884,0.03759,0.01029,0.00325,3.4463,4.62287,1.62394,0.00162743,0.00162743,0.00162743
4,89.078,1.38304,0.78859,0.97872,0.10784,0.06391,0.03786,0.01294,3.384,4.05877,1.53383,0.00161749,0.00161749,0.00161749
5,111.246,1.41459,0.80141,0.97317,0.0391,0.08365,0.02343,0.00626,3.3021,4.19454,1.48861,0.00160099,0.00160099,0.00160099
6,133.291,1.33426,0.74073,0.95511,0.06326,0.05075,0.01567,0.00381,3.44217,3.50552,1.57739,0.00158448,0.00158448,0.00158448
7,155.362,1.34919,0.73468,0.95157,0.10183,0.04041,0.02325,0.00841,3.2498,3.41194,1.56609,0.00156798,0.00156798,0.00156798
8,177.435,1.32593,0.70777,0.95326,0.56622,0.07676,0.02699,0.00931,3.185,4.49612,1.57758,0.00155148,0.00155148,0.00155148
9,199.35,1.32808,0.72449,0.95207,0.00581,0.09305,0.00412,0.00111,3.38772,3.45293,1.66243,0.00153497,0.00153497,0.00153497
10,221.347,1.28858,0.72113,0.9434,0.14224,0.06015,0.04473,0.01809,3.25912,3.60552,1.603,0.00151847,0.00151847,0.00151847
11,243.458,1.31932,0.70211,0.94421,0.02907,0.09392,0.01864,0.00695,3.30765,4.27266,1.56288,0.00150197,0.00150197,0.00150197
12,265.331,1.26154,0.67179,0.93966,0.15461,0.07707,0.03568,0.01249,3.3184,4.70051,1.59604,0.00148546,0.00148546,0.00148546
13,287.494,1.32307,0.71468,0.94918,0.04465,0.04034,0.01111,0.00307,3.38491,5.38213,1.71945,0.00146896,0.00146896,0.00146896
14,309.574,1.25687,0.66406,0.93233,0.17224,0.09211,0.06853,0.02479,3.11583,3.43139,1.59447,0.00145246,0.00145246,0.00145246
15,331.633,1.24838,0.65897,0.93082,0.1537,0.08929,0.05416,0.01826,3.33985,3.24608,1.53688,0.00143595,0.00143595,0.00143595
16,353.676,1.20874,0.65135,0.92412,0.16558,0.0726,0.05608,0.01907,3.22389,3.88641,1.56827,0.00141945,0.00141945,0.00141945
17,375.69,1.21327,0.64194,0.91909,0.19242,0.06673,0.05196,0.01941,3.27773,3.38957,1.46712,0.00140295,0.00140295,0.00140295
18,397.784,1.22614,0.64769,0.92713,0.13662,0.07707,0.05949,0.02055,3.31773,3.36695,1.43355,0.00138644,0.00138644,0.00138644
19,419.737,1.20275,0.65222,0.92294,0.0983,0.05075,0.02279,0.00908,3.34214,3.21906,1.51728,0.00136994,0.00136994,0.00136994
