epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.19573,2.59223,3.49263,1.39557,0.04536,0.05075,0.0148,0.00493,3.50673,8.28537,1.76351,0.000537144,0.000537144,0.000537144
2,12.5761,2.1577,2.16724,1.22249,0.03757,0.08271,0.01171,0.00364,3.29505,22.0232,1.52917,0.00104954,0.00104954,0.00104954
3,18.9536,2.13988,2.15064,1.20963,0.02661,0.08083,0.00574,0.00179,3.30459,265.871,4.75824,0.00151792,0.00151792,0.00151792
4,25.3064,2.22377,2.13319,1.24119,0.00389,0.05545,0.00054,0.00015,nan,nan,nan,0.00146896,0.00146896,0.00146896
5,31.7019,2.09203,1.94084,1.19856,0.01461,0.07801,0.00423,0.00131,3.21714,35.7489,1.67063,0.00140295,0.00140295,0.00140295
6,38.0662,2.0435,1.93033,1.20819,0.06365,0.08365,0.02031,0.00647,3.19826,4.70285,2.10279,0.00133693,0.00133693,0.00133693
7,44.5566,2.07605,1.92235,1.17971,0.02194,0.0968,0.00625,0.00196,3.3142,177.437,7.64837,0.00127092,0.00127092,0.00127092
8,50.8629,2.11034,1.88551,1.14771,0.09871,0.08177,0.0324,0.01036,3.26998,4.13649,1.50144,0.00120491,0.00120491,0.00120491
9,57.2271,2.08224,1.75601,1.16538,0.645,0.06673,0.04646,0.01678,3.12482,3.08593,1.44529,0.00113889,0.00113889,0.00113889
10,63.6263,1.97193,1.58429,1.10112,0.61695,0.06579,0.04467,0.01625,3.1449,3.29852,1.44322,0.00107288,0.00107288,0.00107288
11,69.9275,1.89667,1.62063,1.11464,0.62797,0.07049,0.04846,0.01742,3.15022,2.96426,1.43749,0.00100687,0.00100687,0.00100687
12,76.2088,1.94156,1.61124,1.12908,0.64407,0.07613,0.0529,0.01955,3.08652,2.98754,1.39746,0.000940855,0.000940855,0.000940855
13,82.5874,1.85485,1.5279,1.1092,0.61435,0.09774,0.06213,0.02426,3.07912,3.11807,1.35263,0.000874842,0.000874842,0.000874842
14,88.9909,1.87759,1.47226,1.10294,0.64411,0.08647,0.06654,0.02691,3.01197,2.9982,1.34238,0.000808828,0.000808828,0.000808828
15,95.3597,1.81902,1.57484,1.10363,0.64048,0.07143,0.04758,0.01757,3.04003,2.98904,1.32828,0.000742815,0.000742815,0.000742815
16,106.046,1.84335,1.70734,1.08781,0.65534,0.07425,0.05249,0.02193,3.01364,3.01855,1.31886,0.000676802,0.000676802,0.000676802
17,112.469,1.8255,1.58438,1.09217,0.61688,0.08365,0.05933,0.02304,3.08924,2.81094,1.35553,0.000610789,0.000610789,0.000610789
18,118.838,1.8065,1.50605,1.07978,0.62251,0.07473,0.05126,0.02085,3.00769,2.83122,1.33695,0.000544776,0.000544776,0.000544776
19,125.189,1.76811,1.48602,1.06021,0.61438,0.08365,0.05728,0.02196,3.02761,2.89864,1.34132,0.000478762,0.000478762,0.000478762
20,131.541,1.86431,1.45626,1.07009,0.62542,0.08083,0.05325,0.01902,3.02979,3.01177,1.36513,0.000412749,0.000412749,0.000412749
21,137.83,1.81002,1.73433,1.09249,0.1142,0.07989,0.04943,0.01827,3.02347,2.92837,1.37919,0.000346736,0.000346736,0.000346736
22,144.11,1.71873,1.57247,1.05987,0.13004,0.06861,0.04241,0.01393,3.09042,2.96585,1.41436,0.000280723,0.000280723,0.000280723
23,150.361,1.75662,1.45548,1.05243,0.1219,0.07636,0.04701,0.01735,3.05155,2.92294,1.4016,0.00021471,0.00021471,0.00021471
24,156.77,1.69213,1.39648,1.05752,0.12657,0.08378,0.05271,0.0215,2.97516,2.90567,1.38189,0.000148696,0.000148696,0.000148696
25,163.128,1.75013,1.40024,1.04101,0.12075,0.09774,0.05524,0.02173,2.98427,2.86532,1.38088,8.26832e-05,8.26832e-05,8.26832e-05
