epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,217.267,1.59701,0.91868,0.96939,0.02981,0.0282,0.00501,0.00168,3.70197,4.21203,1.48783,0.00166569,0.00166569,0.00166569
2,432.191,1.4166,0.71494,0.90922,0.02007,0.02256,0.00299,0.00084,3.69868,4.00078,1.44522,0.00133693,0.00133693,0.00133693
3,708.087,1.33589,0.66244,0.89124,0.02653,0.04323,0.00544,0.00175,3.70776,4.09558,1.52403,0.00100687,0.00100687,0.00100687
4,923.222,1.27664,0.61927,0.87934,0.03463,0.02914,0.00754,0.00201,3.54531,3.40483,1.42198,0.000676802,0.000676802,0.000676802
5,1139.45,1.23409,0.58622,0.86782,0.02365,0.01974,0.00655,0.0017,3.61497,3.70859,1.62674,0.000346736,0.000346736,0.000346736
