epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.5753,1.5439,1.07377,1.04393,0.03974,0.06955,0.01104,0.00338,3.48107,4.83373,1.74914,0.000551834,0.000551834,0.000551834
2,52.8014,1.33743,0.7149,0.95526,0.02322,0.03853,0.00962,0.00382,3.32382,5.18878,1.52699,0.00109654,0.00109654,0.00109654
3,78.9404,1.32928,0.70061,0.9546,0.00824,0.08459,0.0054,0.00195,3.45895,3.83392,1.80622,0.00163024,0.00163024,0.00163024
4,105.092,1.2706,0.67671,0.94048,0.09039,0.03759,0.01694,0.00638,3.28744,3.42462,1.47191,0.00161749,0.00161749,0.00161749
5,131.193,1.23478,0.64793,0.93155,0.02893,0.09117,0.01791,0.00559,3.30206,3.77937,1.50599,0.00160099,0.00160099,0.00160099
6,157.181,1.2778,0.66337,0.93931,0.11688,0.06015,0.03766,0.01209,3.27878,3.50595,1.40962,0.00158448,0.00158448,0.00158448
7,183.077,1.27818,0.64911,0.93804,0.10622,0.04793,0.02671,0.00858,3.36218,3.25607,1.55006,0.00156798,0.00156798,0.00156798
8,209.178,1.26828,0.66487,0.93497,0.00775,0.11929,0.02927,0.00943,3.52088,3.66932,1.46828,0.00155148,0.00155148,0.00155148
9,235.192,1.17428,0.60298,0.91766,0.00479,0.06861,0.0015,0.00038,3.20013,3.7938,1.43162,0.00153497,0.00153497,0.00153497
10,261.26,1.18951,0.60699,0.91564,0.03415,0.11184,0.02821,0.00895,3.24978,4.22455,1.46883,0.00151847,0.00151847,0.00151847
11,287.245,1.1583,0.60641,0.9107,0.01868,0.04229,0.00571,0.00152,3.27577,4.34857,1.61359,0.00150197,0.00150197,0.00150197
12,313.352,1.19673,0.62452,0.91593,0.03835,0.05545,0.00873,0.00231,3.48685,3.40674,1.61107,0.00148546,0.00148546,0.00148546
13,339.363,1.14712,0.59494,0.90777,0.01611,0.04584,0.00746,0.00223,3.47874,6.0024,1.66935,0.00146896,0.00146896,0.00146896
14,365.366,1.13847,0.58252,0.9049,0.14892,0.07519,0.0636,0.02218,3.271,3.1488,1.48347,0.00145246,0.00145246,0.00145246
15,391.474,1.21151,0.60604,0.91834,0.06615,0.04605,0.016,0.00591,3.21827,3.73515,1.51329,0.00143595,0.00143595,0.00143595
16,417.408,1.23175,0.63118,0.92397,0.15232,0.05733,0.04237,0.01499,3.38886,3.15142,1.51947,0.00141945,0.00141945,0.00141945
17,443.537,1.15735,0.59639,0.91095,0.09048,0.08741,0.04636,0.01561,3.28429,3.84469,1.48937,0.00140295,0.00140295,0.00140295
18,469.522,1.13481,0.58035,0.90426,0.0845,0.05075,0.02764,0.00915,3.2678,3.75032,1.37561,0.00138644,0.00138644,0.00138644
19,495.658,1.11764,0.56804,0.89955,0.07042,0.05827,0.02477,0.00582,3.37168,4.18861,1.52601,0.00136994,0.00136994,0.00136994
20,521.834,1.11123,0.56353,0.89803,0.15605,0.09117,0.06207,0.0219,3.24594,3.21253,1.43383,0.00135344,0.00135344,0.00135344
21,547.97,1.11664,0.55833,0.89558,0.16346,0.09211,0.05911,0.02088,3.24899,3.02873,1.35505,0.00133693,0.00133693,0.00133693
22,573.803,1.10835,0.54675,0.89672,0.14915,0.07237,0.05901,0.02204,3.20329,3.24551,1.41389,0.00132043,0.00132043,0.00132043
23,599.921,1.12843,0.55629,0.90094,0.13742,0.08741,0.05989,0.02105,3.23402,3.0716,1.44793,0.00130393,0.00130393,0.00130393
24,626.06,1.08623,0.53464,0.88967,0.13013,0.06955,0.05027,0.01731,3.25579,3.02374,1.43428,0.00128742,0.00128742,0.00128742
25,652.05,1.097,0.54697,0.89312,0.1511,0.06919,0.04749,0.01705,3.21887,3.38854,1.42139,0.00127092,0.00127092,0.00127092
26,678.131,1.16782,0.56748,0.9047,0.13264,0.09023,0.06204,0.02172,3.18135,3.40563,1.43737,0.00125442,0.00125442,0.00125442
27,704.088,1.12651,0.55374,0.89589,0.18571,0.09774,0.07539,0.02529,3.22622,3.41088,1.33454,0.00123791,0.00123791,0.00123791
28,730.126,1.07135,0.53893,0.8866,0.12838,0.09492,0.05619,0.02142,3.13754,3.55798,1.33444,0.00122141,0.00122141,0.00122141
29,756.245,1.05709,0.52874,0.88365,0.65066,0.09492,0.05861,0.02199,3.17444,3.30778,1.31974,0.00120491,0.00120491,0.00120491
30,782.266,1.09317,0.54498,0.89174,0.14085,0.09774,0.06126,0.02008,3.17252,3.51399,1.38917,0.0011884,0.0011884,0.0011884
31,808.386,1.07713,0.53323,0.88742,0.06876,0.07049,0.02007,0.00634,3.16938,3.42565,1.46739,0.0011719,0.0011719,0.0011719
32,834.156,1.07705,0.5309,0.88786,0.08846,0.08553,0.03704,0.01422,3.13966,3.57667,1.32062,0.0011554,0.0011554,0.0011554
33,860.1,1.06925,0.52803,0.88898,0.10222,0.07143,0.03461,0.0103,3.23539,2.95002,1.4192,0.00113889,0.00113889,0.00113889
34,886.034,1.05684,0.52492,0.88409,0.14946,0.08459,0.05798,0.02265,3.13453,3.06475,1.34649,0.00112239,0.00112239,0.00112239
35,912.056,1.077,0.5379,0.88769,0.11741,0.08647,0.04955,0.02022,3.16925,3.71383,1.36583,0.00110589,0.00110589,0.00110589
36,938.124,1.04971,0.51947,0.88269,0.14992,0.10526,0.06888,0.02503,3.23041,3.26119,1.32732,0.00108938,0.00108938,0.00108938
37,964.209,1.04426,0.52038,0.88041,0.15146,0.07707,0.05677,0.01692,3.24803,3.09258,1.41865,0.00107288,0.00107288,0.00107288
38,990.171,1.04489,0.51798,0.88026,0.146,0.08365,0.05264,0.01801,3.2428,3.51634,1.40872,0.00105638,0.00105638,0.00105638
39,1016.13,1.05711,0.51426,0.88313,0.19034,0.09305,0.07498,0.02892,3.1083,3.08881,1.3461,0.00103987,0.00103987,0.00103987
40,1042.14,1.05217,0.5159,0.88347,0.1569,0.09962,0.06889,0.02821,3.12548,3.30552,1.30895,0.00102337,0.00102337,0.00102337
41,1068.2,1.05178,0.51073,0.87998,0.1716,0.06485,0.05875,0.02317,3.07505,3.54646,1.30593,0.00100687,0.00100687,0.00100687
42,1094.2,1.04933,0.51085,0.88026,0.12052,0.09586,0.05891,0.0182,3.19396,3.33753,1.34417,0.000990365,0.000990365,0.000990365
43,1120.16,1.02619,0.5034,0.87443,0.16419,0.09962,0.08071,0.03411,3.05799,3.17829,1.37525,0.000973861,0.000973861,0.000973861
44,1146.39,1.02818,0.50879,0.87578,0.07928,0.04511,0.02255,0.00764,3.16913,3.59641,1.38589,0.000957358,0.000957358,0.000957358
45,1172.4,1.01857,0.50336,0.87479,0.14072,0.10491,0.06012,0.02595,3.02986,2.96458,1.31795,0.000940855,0.000940855,0.000940855
46,1198.34,1.02613,0.50244,0.87554,0.16357,0.09586,0.06817,0.02561,3.23221,2.98368,1.37438,0.000924352,0.000924352,0.000924352
47,1224.44,1.01718,0.49125,0.87155,0.16103,0.06673,0.04516,0.01767,3.12169,3.57153,1.34166,0.000907848,0.000907848,0.000907848
48,1250.43,1.01637,0.4987,0.87249,0.18103,0.09398,0.0735,0.02656,3.08585,2.97122,1.33801,0.000891345,0.000891345,0.000891345
49,1276.51,1.00983,0.48905,0.87044,0.14732,0.10526,0.07082,0.02896,3.01117,2.99569,1.26627,0.000874842,0.000874842,0.000874842
50,1302.76,1.01556,0.49589,0.87185,0.07568,0.06391,0.02457,0.00671,3.28045,3.22165,1.4976,0.000858338,0.000858338,0.000858338
51,1328.83,0.99623,0.49925,0.86909,0.61584,0.09023,0.04709,0.01653,3.09546,3.23247,1.32269,0.000841835,0.000841835,0.000841835
52,1354.88,0.96939,0.48797,0.86561,0.64087,0.08369,0.05365,0.01552,3.29104,3.05522,1.45165,0.000825332,0.000825332,0.000825332
53,1380.88,0.95298,0.4818,0.8631,0.08908,0.08459,0.04182,0.01318,3.20931,3.63718,1.37845,0.000808828,0.000808828,0.000808828
54,1407.02,0.94925,0.48285,0.86137,0.17853,0.10244,0.08296,0.0316,3.09382,3.11439,1.36323,0.000792325,0.000792325,0.000792325
55,1432.95,0.93398,0.47253,0.8591,0.17879,0.11278,0.08621,0.03425,3.10582,2.94757,1.33687,0.000775822,0.000775822,0.000775822
56,1459.02,0.94816,0.47844,0.86031,0.1386,0.07966,0.04914,0.02013,3.11855,3.5143,1.2928,0.000759318,0.000759318,0.000759318
